Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
137,Djené\Djene,tg TOG,DF,Getafe,27,1991,33.0,8,0.25,7,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Naïs Djouahra\Nais-Djouahra,fr FRA,FW,Real Sociedad,19,1999,0.3,3,9.31,2,0,1,0,0,1,3.10,1,0,0,0,0,0,Matches
139,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,27,1992,35.0,8,0.23,2,5,0,1,0,0,0.00,0,0,0,0,0,0,Matches
140,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,28,1990,13.7,1,0.07,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
141,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,24,1995,33.3,5,0.15,4,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
142,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,30,1989,4.4,4,0.91,3,0,0,1,0,1,0.23,1,0,0,0,0,0,Matches
143,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,23,1995,29.6,36,1.22,24,3,0,4,5,6,0.20,2,1,0,1,2,0,Matches
144,Hugo Duro\Hugo-Duro,es ESP,FWMF,Getafe,19,1999,4.0,4,1.30,2,0,0,0,2,2,0.65,1,0,0,0,1,0,Matches
145,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,25,1994,16.3,8,0.49,6,0,0,1,1,3,0.18,2,0,0,1,0,0,Matches
146,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,25,1993,23.6,2,0.09,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Adri Embarba\Adri-Embarba,es ESP,MFFW,Espanyol,27,1992,14.2,31,2.18,17,4,4,2,4,4,0.28,4,0,0,0,0,0,Matches
148,Emerson\Emerson,br BRA,DF,Betis,20,1999,30.5,53,1.79,44,0,2,2,5,6,0.20,5,0,0,0,1,0,Matches
149,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,22,1997,15.4,22,1.43,14,0,2,3,3,4,0.26,3,0,0,1,0,0,Matches
150,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,22,1997,8.6,4,0.52,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
151,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,29,1990,20.6,18,0.88,12,0,0,3,3,5,0.24,3,0,0,1,1,0,Matches
152,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,29,1990,9.1,12,1.43,8,3,0,0,1,0,0.00,0,0,0,0,0,0,Matches
153,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,26,1993,18.6,17,0.91,10,1,1,1,4,3,0.16,1,0,0,0,2,0,Matches
154,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,23,1995,3.0,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,29,1989,8.6,12,1.40,9,0,2,1,0,1,0.12,0,0,0,1,0,0,Matches
156,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,30,1989,25.1,8,0.32,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Esquerdo\Esquerdo,es ESP,MF,Valencia,20,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Osasuna,21,1998,32.8,74,2.25,63,6,3,2,0,10,0.30,7,2,0,1,0,0,Matches
159,Oghenekaro Etebo\Oghenekaro-Etebo,ng NGA,MF,Getafe,23,1995,6.4,7,1.10,6,0,0,1,0,1,0.16,1,0,0,0,0,0,Matches
160,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,32,1987,4.4,12,2.74,2,10,0,0,0,1,0.23,1,0,0,0,0,0,Matches
161,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,31,1987,16.1,5,0.31,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
162,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,22,1996,25.4,39,1.60,28,0,3,6,2,3,0.12,2,0,0,1,0,0,Matches
163,Fabricio\Fabricio,es ESP,GK,Mallorca,31,1987,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
164,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Getafe,30,1988,4.5,18,4.09,12,6,0,0,0,0,0.00,0,0,0,0,0,0,Matches
