Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
426,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,25.4,27,1.06,26,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
427,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
428,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,3.7,3,0.81,3,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
429,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,21.8,18,0.82,16,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
430,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
431,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,Matches
432,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,23,1.58,21,2,0,0,0,2,0.14,1,1,0,0,0,0,Matches
433,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,1.9,1,0.53,1,0,0,0,0,1,0.53,1,0,0,0,0,0,Matches
434,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,17.4,39,2.24,28,0,3,4,4,4,0.23,2,0,1,1,0,0,Matches
435,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,9.6,7,0.73,6,0,0,0,1,1,0.10,1,0,0,0,0,0,Matches
436,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,13,0.39,10,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
437,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
438,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,16.2,16,0.99,14,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches
439,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,6.8,19,2.78,8,7,2,2,0,3,0.44,0,0,1,2,0,0,Matches
440,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
441,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,26.1,38,1.46,36,0,0,2,0,3,0.11,3,0,0,0,0,0,Matches
442,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,25.2,15,0.59,13,1,1,0,0,3,0.12,3,0,0,0,0,0,Matches
443,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,27.8,107,3.86,78,1,9,9,10,9,0.32,5,0,0,1,3,0,Matches
444,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,35.2,64,1.82,51,6,4,3,0,8,0.23,7,0,1,0,0,0,Matches
445,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,12.3,33,2.69,27,0,5,1,0,2,0.16,2,0,0,0,0,0,Matches
446,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.3,10,0.81,10,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
447,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,4,5.14,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
448,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,2,1.31,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
449,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,1,0.38,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
450,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
451,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
452,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,23.5,51,2.17,43,6,0,1,1,4,0.17,3,0,0,1,0,0,Matches
453,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,36.0,22,0.61,18,0,0,4,0,5,0.14,3,0,0,2,0,0,Matches
454,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,21,0.97,19,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
