,squad,minutes_90s,passes_completed,through_balls,position,player,passes,passes_pressure
130,Tottenham,12.2,549,4,"MF,FW",Christian Eriksen,743,119
131,Leicester City,34.6,1889,2,DF,Jonny Evans,2142,287
132,West Ham,20.5,327,0,GK,Łukasz Fabiański,585,53
133,Liverpool,21.1,1235,5,MF,Fabinho,1410,227
134,Norwich City,0.2,7,0,GK,Ralf Fährmann,10,0
135,Watford,22.4,889,0,DF,Kiko Femenía,1161,148
136,Manchester Utd,10.2,462,3,MF,Bruno Fernandes,653,107
137,Tottenham,0.7,38,0,"MF,DF",Gedson Fernandes,49,10
138,Newcastle Utd,26.1,820,1,DF,Federico Fernández,1076,159
139,Manchester City,25.1,1859,2,DF,Fernandinho,2052,237
140,Liverpool,31.3,877,7,FW,Roberto Firmino,1101,295
141,Sheffield Utd,26.1,807,2,MF,John Fleck,1091,216
142,Manchester City,7.5,323,3,"FW,MF",Phil Foden,374,55
143,West Ham,21.6,610,6,"MF,FW",Pablo Fornals,795,198
144,Watford,35.0,499,0,GK,Ben Foster,1126,91
145,Watford,0.7,10,0,"MF,DF",Dimitri Foulquier,13,5
146,Tottenham,0.8,53,0,DF,Juan Foyth,60,12
147,Bournemouth,10.8,425,1,DF,Simon Francis,544,123
148,Bournemouth,23.0,648,9,"MF,FW",Ryan Fraser,950,205
149,Manchester Utd,24.0,1463,3,MF,Fred,1714,344
150,West Ham,23.9,746,0,DF,Ryan Fredericks,1027,158
151,Sheffield Utd,0.1,2,0,FW,Kieron Freeman,2,1
152,Sheffield Utd,4.1,110,0,MF,Luke Freeman,150,37
153,Leicester City,8.6,510,1,DF,Christian Fuchs,630,87
154,Manchester City,6.8,523,0,DF,Eric García,548,39
155,Manchester Utd,0.1,15,0,MF,James Garner,15,6
156,Newcastle Utd,7.1,83,1,FW,Dwight Gayle,113,34
157,Tottenham,17.9,319,1,GK,Paulo Gazzaniga,516,63
158,Everton,1.5,50,0,MF,Jean-Philippe Gbamin,67,9
159,Manchester Utd,35.0,659,0,GK,David de Gea,856,100
160,Aston Villa,22.5,397,0,"FW,MF",Anwar El Ghazi,606,153
161,Wolves,1.4,66,1,"MF,FW",Morgan Gibbs-White,82,17
162,Chelsea,2.2,151,0,MF,Billy Gilmour,169,37
163,Chelsea,8.6,154,1,FW,Olivier Giroud,229,78
164,Norwich City,26.4,1330,1,DF,Ben Godfrey,1499,236
165,Everton,13.2,543,1,MF,André Gomes,653,104
166,Manchester Utd,0.2,11,1,MF,Angel Gomes,13,0
167,Liverpool,19.3,1515,0,DF,Joe Gomez,1695,185
168,Everton,4.1,74,1,MF,Anthony Gordon,94,13
169,Bournemouth,12.2,364,0,MF,Dan Gosling,456,114
170,Watford,8.1,96,1,FW,Andre Gray,147,52
171,Leicester City,6.0,224,3,"MF,FW",Demarai Gray,270,66
172,Aston Villa,32.9,1135,4,"FW,MF",Jack Grealish,1437,335
173,Manchester Utd,12.1,340,0,FW,Mason Greenwood,397,86
174,Bournemouth,7.0,181,0,MF,Arnaut Groeneveld,227,63
175,Brighton,19.2,732,3,"FW,MF",Pascal Groß,990,194
176,Crystal Palace,32.0,551,0,GK,Vicente Guaita,979,111
177,Arsenal,19.4,1018,3,MF,Mattéo Guendouzi,1144,224
178,Aston Villa,21.1,655,1,DF,Frederic Guilbert,977,133
179,Manchester City,21.2,1666,11,MF,İlkay Gündoğan,1835,340
180,Southampton,10.0,111,0,GK,Angus Gunn,256,19
181,West Ham,24.3,498,2,FW,Sébastien Haller,735,309
182,Norwich City,14.0,538,0,DF,Grant Hanley,639,97
183,Aston Villa,17.0,590,0,DF,Kortney Hause,788,141
184,Newcastle Utd,24.5,628,3,MF,Isaac Hayden,831,199
185,Aston Villa,19.9,350,0,GK,Tom Heaton,614,62
186,Sheffield Utd,33.0,393,0,GK,Dean Henderson,958,72
